"TOA5","LSPS Weather","CR800","31766","CR800.Std.27","CPU:EvapTransWxStation_revB.CR8","24097","Daily"
"TIMESTAMP","RECORD","BattV_Min","BattV_Max","Rain_in_Tot"
"TS","RN","Volts","Volts","inch"
"","","Min","Max","Tot"
"2015-08-13 24:00:00",388,12.29,13.03,0
"2015-08-14 24:00:00",389,12.26,13.04,0
"2015-08-15 24:00:00",390,12.28,13.05,0
"2015-08-16 24:00:00",391,12.27,13.07,0
"2015-08-17 24:00:00",392,12.27,13.08,0
"2015-08-18 24:00:00",393,12.27,13.07,0
"2015-08-19 24:00:00",394,12.27,13.06,0
"2015-08-20 24:00:00",395,12.27,13.11,0.01
"2015-08-21 24:00:00",396,12.22,13.12,0
"2015-08-22 24:00:00",397,12.29,13.06,0
"2015-08-23 24:00:00",398,12.27,13.05,0
"2015-08-24 24:00:00",399,12.26,13.04,0
"2015-08-25 24:00:00",400,12.27,13.03,0
"2015-08-26 24:00:00",401,12.24,13.09,0
"2015-08-27 24:00:00",402,12.24,13.12,0
"2015-08-28 24:00:00",403,12.19,13.11,0
"2015-08-29 24:00:00",404,12.25,13.09,0
"2015-08-30 24:00:00",405,12.27,13.06,0
"2015-08-31 24:00:00",406,12.25,13.1,0
"2015-09-01 24:00:00",407,12.26,13.09,0.02
"2015-09-02 24:00:00",408,12.25,13.12,0
"2015-09-03 24:00:00",409,12.24,13.12,0
"2015-09-04 24:00:00",410,12.25,13.08,0
"2015-09-05 24:00:00",411,12.26,13.08,0.03
"2015-09-06 24:00:00",412,12.26,13.08,0
"2015-09-07 24:00:00",413,12.26,13.05,0
"2015-09-08 24:00:00",414,12.27,13.07,0
"2015-09-09 24:00:00",415,12.26,13.05,0
"2015-09-10 24:00:00",416,12.22,13.05,0.02
"2015-09-11 24:00:00",417,12.23,13.09,0
"2015-09-12 24:00:00",418,12.23,13.14,0
"2015-09-13 24:00:00",419,12.18,13.2,0
"2015-09-14 24:00:00",420,12.18,13.2,0
"2015-09-15 24:00:00",421,12.22,13.1,0.36
"2015-09-16 24:00:00",422,12.24,13.09,0
"2015-09-17 24:00:00",423,12.25,13.1,0
"2015-09-18 24:00:00",424,12.24,13.11,0
"2015-09-19 24:00:00",425,12.22,13.12,0
"2015-09-20 24:00:00",426,12.21,13.12,0
"2015-09-21 24:00:00",427,12.26,13.09,0
"2015-09-22 24:00:00",428,12.22,13.1,0
"2015-09-23 24:00:00",429,12.2,13.13,0
"2015-09-24 24:00:00",430,12.19,13.17,0
"2015-09-25 24:00:00",431,12.25,13.12,0
"2015-09-26 24:00:00",432,12.21,13.13,0
"2015-09-27 24:00:00",433,12.18,13.18,0
"2015-09-28 24:00:00",434,12.21,13.14,0.03
"2015-09-29 24:00:00",435,12.19,13.13,0
"2015-09-30 24:00:00",436,12.22,13.1,0
"2015-10-01 24:00:00",437,12.21,13.15,0
"2015-10-02 24:00:00",438,12.18,13.22,0
"2015-10-03 24:00:00",439,12.13,13.29,0
"2015-10-04 24:00:00",440,12.16,13.28,0
"2015-10-05 24:00:00",441,12.18,13.23,0
"2015-10-06 24:00:00",442,12.18,13.2,0
"2015-10-07 24:00:00",443,12.19,13.16,0
"2015-10-08 24:00:00",444,12.21,13.15,0
"2015-10-09 24:00:00",445,12.22,13.07,0
"2015-10-10 24:00:00",446,12.2,13.18,0
"2015-10-11 24:00:00",447,12.18,13.16,0
"2015-10-12 24:00:00",448,12.24,13.1,0
"2015-10-13 24:00:00",449,12.21,13.13,0
"2015-10-14 24:00:00",450,12.13,13.27,0
"2015-10-15 24:00:00",451,12.14,13.28,0
"2015-10-16 24:00:00",452,12.13,13.24,0
"2015-10-17 24:00:00",453,12.18,13.23,0
"2015-10-18 24:00:00",454,12.14,13.32,0
"2015-10-19 24:00:00",455,12.12,13.33,0
"2015-10-20 24:00:00",456,12.18,13.21,0
"2015-10-21 24:00:00",457,12.24,13.1,0
"2015-10-22 24:00:00",458,12.21,13.09,0
"2015-10-23 24:00:00",459,12.15,12.77,0.73
"2015-10-24 24:00:00",460,11.92,12.24,0.15
"2015-10-25 24:00:00",461,11.74,12.37,0.1
"2015-10-26 24:00:00",462,11.66,12.94,0.08
"2015-10-27 24:00:00",463,11.93,13.07,0.04
"2015-10-28 24:00:00",464,12.16,13.17,0
"2015-10-29 24:00:00",465,12.15,13.35,0
"2015-10-30 24:00:00",466,12.13,12.56,0.28
"2015-10-31 24:00:00",467,12,12.8,0.98
"2015-11-01 24:00:00",468,11.9,12.98,0.05
"2015-11-02 24:00:00",469,11.8,13.03,0
"2015-11-03 24:00:00",470,12.11,13.22,0
"2015-11-04 24:00:00",471,12.18,13.15,0
"2015-11-05 24:00:00",472,12.13,13.07,0
"2015-11-06 24:00:00",473,12.05,13.18,0.4
"2015-11-07 24:00:00",474,11.98,12.36,1.46
"2015-11-08 24:00:00",475,11.88,13.2,0
"2015-11-09 24:00:00",476,12.13,13.34,0
"2015-11-10 24:00:00",477,12.16,13.19,0
"2015-11-11 24:00:00",478,12.12,13.03,0.02
"2015-11-12 24:00:00",479,12,13.28,0
"2015-11-13 24:00:00",480,12.15,13.28,0
"2015-11-14 24:00:00",481,12.08,13.38,0
"2015-11-15 24:00:00",482,12.09,13.27,0
"2015-11-16 24:00:00",483,12.1,13.05,0.04
"2015-11-17 24:00:00",484,11.87,13.32,1.02
"2015-11-18 24:00:00",485,11.76,13.17,0
"2015-11-19 24:00:00",486,12.28,13.14,0
"2015-11-20 24:00:00",487,12.21,13.35,0
"2015-11-21 24:00:00",488,12.28,13.33,0.02
"2015-11-22 24:00:00",489,12.13,13.6,0
"2015-11-23 24:00:00",490,12.11,13.62,0
"2015-11-24 24:00:00",491,12.23,13.37,0
"2015-11-25 24:00:00",492,12.28,13.16,0
"2015-11-26 24:00:00",493,12.24,13.02,0.06
"2015-11-27 24:00:00",494,11.99,12.6,0.57
"2015-11-28 24:00:00",495,11.82,12.29,0.36
"2015-11-29 24:00:00",496,11.67,12.01,0.28
"2015-11-30 24:00:00",497,11.52,12.06,0.06
"2015-12-01 24:00:00",498,11.42,12.51,0
"2015-12-02 24:00:00",499,11.43,12.76,0
"2015-12-03 24:00:00",500,11.83,13.33,0
"2015-12-04 24:00:00",501,12.11,13.62,0
"2015-12-05 24:00:00",502,12.13,13.65,0
"2015-12-06 24:00:00",503,12.17,13.51,0
"2015-12-07 24:00:00",504,12.15,13.54,0
"2015-12-08 24:00:00",505,12.19,13.44,0
"2015-12-09 24:00:00",506,12.21,13.4,0
"2015-12-10 24:00:00",507,12.26,13.16,0
"2015-12-11 24:00:00",508,12.25,13.17,0
"2015-12-12 24:00:00",509,12.17,12.47,3.63
"2015-12-13 24:00:00",510,11.92,12.25,1.76
"2015-12-14 24:00:00",511,11.82,13.12,0
"2015-12-15 24:00:00",512,12.2,13.29,0
"2015-12-16 24:00:00",513,12.1,13.27,0.1
"2015-12-17 24:00:00",514,12.05,13.62,0
"2015-12-18 24:00:00",515,12.09,13.68,0
"2015-12-19 24:00:00",516,12.11,13.51,0
"2015-12-20 24:00:00",517,12.16,12.91,0
"2015-12-21 24:00:00",518,12.1,13.05,0
"2015-12-22 24:00:00",519,11.97,13.28,0
"2015-12-23 24:00:00",520,12.25,13.13,0
"2015-12-24 24:00:00",521,12.18,13.21,0
"2015-12-25 24:00:00",522,12.11,13.16,0
"2015-12-26 24:00:00",523,12.1,12.95,0.19
"2015-12-27 24:00:00",524,11.8,12.19,2.28
"2015-12-28 24:00:00",525,11.69,13.38,0.01
"2015-12-29 24:00:00",526,11.64,13.34,0
"2015-12-30 24:00:00",527,11.93,12.94,0.1
"2015-12-31 24:00:00",528,11.82,13.42,0
"2016-01-01 24:00:00",529,11.85,12.64,0
"2016-01-02 24:00:00",530,11.68,12.38,0
"2016-01-03 24:00:00",531,11.61,13.16,0
"2016-01-04 24:00:00",532,11.96,13.72,0
"2016-01-05 24:00:00",533,12.05,13.67,0
"2016-01-06 24:00:00",534,12.03,13.22,0.57
"2016-01-07 24:00:00",535,11.92,12.68,0.03
"2016-01-08 24:00:00",536,11.83,12.73,0.01
"2016-01-09 24:00:00",537,11.67,12.83,0.12
"2016-01-10 24:00:00",538,11.54,13.34,0
"2016-01-11 24:00:00",539,12,13.67,0
"2016-01-12 24:00:00",540,12.02,13.6,0
"2016-01-13 24:00:00",541,12.07,13.58,0
"2016-01-14 24:00:00",542,12.15,13.33,0
"2016-01-15 24:00:00",543,12.13,13.41,0
"2016-01-16 24:00:00",544,12.08,13.28,0.02
"2016-01-17 24:00:00",545,11.95,13.59,0
"2016-01-18 24:00:00",546,12.09,13.6,0
"2016-01-19 24:00:00",547,12.15,13.37,0
"2016-01-20 24:00:00",548,12.12,13.51,0.05
"2016-01-21 24:00:00",549,12.06,13.36,0.1
"2016-01-22 24:00:00",550,12.01,13.51,0
"2016-01-23 24:00:00",551,12.06,13.75,0
"2016-01-24 24:00:00",552,12.11,13.51,0
"2016-01-25 24:00:00",553,12.2,13.25,0
"2016-01-26 24:00:00",554,12.14,13.43,0
"2016-01-27 24:00:00",555,12.04,13.53,0
"2016-01-28 24:00:00",556,12.06,13.69,0
"2016-01-29 24:00:00",557,12.1,13.53,0
"2016-01-30 24:00:00",558,12.18,13.34,0
"2016-01-31 24:00:00",559,12.22,13.2,0
